Brand,Active Ads,Ad Library URL,Audience Signal,Competitive Threat,Creator Type,Dominant Angle,Est. Ads Per Month,Notes,Oldest Ad Date,Platform,Scrape Date,Secondary Angles,Top Hook (Verbatim)
Gains In Bulk,180,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=gainsinbulk,Male,⚫ N/A — not competing on this channel,Male UGC,"Creatine-focused — nearly 100% creatine ads, not protein. Bloat-free creatine, 97% water soluble, tone + muscle.",15,Creator: Clark Bartram. NOT a plant protein competitor on Meta — essentially a creatine company on this channel. Remove from protein competitive analysis.,,Meta,"April 13, 2026",Giveaway mechanic; muscle/performance athlete testimonials,"""Bloat-free creatine that's 97% water soluble"" / ""Tone up and build muscle without the bloat"""
Clean Simple Eats,130,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=clean+simple+eats,Female,🟡 Medium — adjacent audience,Female UGC,New flavor launches (Campfire Mallow Sweetness) + Target retail launch April 10 2026. Flavor showcase + lifestyle + macro-balanced.,12,"Creators: Stay Fit Mom, shandi.lynn.martin. All female. All whey (not plant). Major April 2026 creative spike driven by Target retail launch on April 10. Best flavor + lifestyle creative playbook in the category — but nobody has translated it for male + plant protein.","July 28, 2025",Meta,"April 13, 2026","Recipe integration; 'Build lean muscle, curb cravings'; Clear Protein Drinks (new product); Target shelf announcement","""New flavor just dropped — Campfire Mallow Sweetness"" / ""Now at Target — grab it on your next run"""
Truvani,410,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=truvani,Female,🟢 Low — different audience,Female UGC,72% OFF Starter Kit — deep discount as primary hook across majority of ads,30,"Creators: Dee Bailey, Melanie Duncan, Holistically Stevi, Food Babe. 100% female. Zero male content. Massive Meta spend relative to ~$4-5M revenue — betting the growth engine on this channel. CTA: Shop Now universal. No performance angle, no science, no gut health.","December 12, 2025",Meta,"April 13, 2026",11 flavor variety showcase; 'No Gums. No Stevia.' clean label story; price objection handling ('worried about price? I got good news'); new flavor launches,"""Worried about the price? I got good news..."" / ""72% off your Starter Kit today only"""
Momentous,64,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=momentous+protein,Male,🔴 High — direct ICP overlap,Celebrity,"Creatine is #1 by volume (~30+ ads). Protein lives inside 'The Momentous Three' bundle (~13 ads). Fiber+ gut health is the new product push (~15+ ads). All launched March 31–April 2, 2026 burst.",22,"⚠️ CORRECTED: Was logged as ~20 ads from keyword search. Page ID search shows 64 total. Product split: ~30 creatine / ~15 Fiber+ / ~13 protein (all in 'The Momentous Three' bundle context) / ~6 iron+D3. Creators: Arnold Schwarzenegger, Arnold's Pump Club, Simon Hill, Dr. Stacy Sims, Momentous brand. NO UGC — all celebrity/professional. All 64 ads launched March 31 – April 2, 2026. Price: premium, zero discounts. Protein page filter URL: https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=page&view_all_page_id=1448870495145917&q=protein","March 5, 2026",Meta,"April 13, 2026","Simon Hill creatine; Arnold 'no gimmicks, back to basics' protein+creatine+D3; Dr. Stacy Sims creatine; Arnold's Pump Club gut health; 'The Momentous Three Vegan' fully plant-based bundle; 'Plant Protein, Without the Bloat'; 'Proven Basics. Real Results. Trusted by Schwarzenegger'","""It's always about the basics. Protein. Creatine. Vitamin D3. These are the nutrients your body actually needs — not gimmicks."" (Arnold) / ""The true foundation for your performance might not be what you think. Fiber shouldn't spike your pump."" / ""Introducing The Momentous Three™, now fully-plant based: Plant Protein with complete aminos, Creatine for strength + energy, and Vegan Omega for brain + recovery."""
KOS Nutritionals,6,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=kos+protein,Gender Neutral,🟡 Medium — adjacent audience,Brand Only,Amazon restock push ('We heard you. We're back.') + FREE 3-pack sample trial offer,1,$41.5M revenue brand running only 6 active Meta ads. Nearly dark on this channel. No influencer creators. Their wellness/gender-neutral plant protein audience is essentially undefended on Meta. Major opportunity for Planta to capture this segment.,"January 7, 2026",Meta,"April 13, 2026",Plant Protein Without the Bloat (video); $0.61/cup BOGO on Sippin' On Shroomboom mushroom coffee; Subscribe & Save 25% off,"""We heard you. We're back. KOS Plant Protein is finally back in stock on Amazon."" / ""Get a FREE 3-pack of samples — Chocolate, Vanilla, Peanut Butter"""
AG1 (Athletic Greens),180,https://www.facebook.com/ads/library/?search_type=page&view_all_page_id=athleticgreens,Mixed,🔴 High — direct ICP overlap,Mixed,All-in-one foundational nutrition — '75 ingredients in one scoop',60,Primary conquest target. $79/mo price is the single biggest attack surface. 'Everything-for-everyone' vs Nektar's named-organ specificity.,,Meta,"April 14, 2026","Athlete endorsements, travel convenience, gut health",One drink. 75 ingredients. Everything your body needs.
Seed,120,https://www.facebook.com/ads/library/?search_type=page&q=seedhealth,Mixed,🔴 High — direct ICP overlap,Mixed,Clinically-studied synbiotic — gut-first health optimization,45,"Not a greens powder but same buyer, same wallet. Two angles: stack ('Seed covers gut, Nektar covers organs') AND conquest ('one scoop, four organs, $8 cheaper'). Added April 14 per user flag.",,Meta,"April 14, 2026","PhD-founder science credentialing, sustainable packaging, doctor endorsements",Your gut is the foundation of everything.
Bloom Nutrition,320,https://www.facebook.com/ads/library/?search_type=page&q=bloom+nutrition,Female,🟢 Low — different audience,Female UGC,Debloat + taste-led greens for Gen Z women,130,"Dominant TikTok player by volume. Not Nektar's ICP but proves taste-led greens CAN scale. Reference for creative ambition, not conquest.",,TikTok,"April 14, 2026","Aesthetic packaging, TikTok virality, sorority/college targeting",POV: you finally found a greens powder that tastes like candy.
Huel,210,https://www.facebook.com/ads/library/?search_type=page&q=huel,Male,🟡 Medium — adjacent audience,Mixed,Complete meal replacement — convenience + nutrition,80,Adjacent — meal replacement not organ support. Overlap on the 'I want to optimize but have no time' psychographic.,,Meta,"April 14, 2026","Busy-professional targeting, price-per-meal math, vegan-friendly",A complete meal in 60 seconds.
Quince Greens,30,https://www.facebook.com/ads/library/?search_type=page&q=quince,Female,🟢 Low — different audience,Female UGC,Affordable greens — 'AG1 quality at half the price',12,Same price-attack playbook Nektar can use against AG1. Nektar differentiator: named-organ claims vs. generic greens.,,Meta,"April 14, 2026","Value positioning, minimalist branding, no-stim",The greens powder that doesn't cost $79.
